,SN20A,SN20B,SN21A,SN21B,SN22A,SN22B,SN23A,SN23B,SN24A,SN24B,SN25A,SN25B
MMP23B,341,245,106,60,88,85,70,63,128,64,147,96
QKI,6199,7057,4261,11171,3937,3810,7732,3526,5682,4752,5927,5585
ECPAS,4672,4302,5659,4498,6583,7271,5421,6096,4522,4691,5786,5367
NNT,3407,2668,3586,2462,4151,4198,3862,3737,3363,2933,4311,3714
KRTAP19-5,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_16974,0,4,0,0,2,0,0,0,0,0,0,0
NewGene_16972,0,0,0,0,2,2,0,0,0,0,0,2
NewGene_16973,11,14,5,6,3,6,3,3,9,4,6,15
NewGene_16971,0,1,2,0,0,2,1,0,3,3,3,2
KRTAP19-7,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_16978,16,15,23,35,42,34,49,24,21,42,52,45
ITGA10,53,38,201,84,64,100,99,100,144,133,67,55
NewGene_10721,0,0,0,0,0,0,0,0,0,4,0,0
NewGene_10723,247,219,53,79,78,54,63,74,49,41,70,73
NewGene_10722,0,0,0,0,0,0,0,2,0,0,0,0
NewGene_10725,8,3,11,5,10,10,9,4,7,13,10,8
NewGene_10727,13,17,9,36,8,9,30,13,21,15,4,22
NewGene_10729,23,15,29,8,38,27,27,24,2,13,37,14
NewGene_10728,0,0,0,0,0,2,0,0,0,0,0,0
NewGene_18113,2,3,0,0,0,0,0,0,0,7,0,0
NewGene_18110,8,2,0,13,0,1,0,0,3,0,0,0
NewGene_18117,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_18115,8,13,10,6,8,12,8,9,4,20,12,7
CEP120,894,965,1386,1343,1457,1432,1317,1327,1199,1088,1410,1343
NewGene_9276,0,0,2,2,12,2,0,5,0,0,2,2
CEP128,53,68,44,158,27,59,98,43,33,55,122,103
NewGene_9272,0,0,0,0,0,1,0,0,0,3,0,0
ATF1,985,932,632,493,577,499,582,446,626,516,1117,924
ATF2,2317,2211,3952,3966,3919,4499,4484,3916,3365,3267,4254,4116
ATF3,1834,1542,1800,1559,2009,2218,1501,1399,1359,1323,2840,2702
ATF4,11296,10110,14142,16570,11795,15719,12692,12665,11156,11820,11870,10984
ATF5,414,410,521,3458,772,974,607,684,784,753,1487,1691
ATF6,3567,3515,2475,2841,2706,2493,2915,2390,2613,2411,3145,2738
ATF7,1393,1424,1298,1457,1221,1397,1667,1325,1363,1386,1492,1470
CRISP1,0,0,2,0,6,6,2,0,4,2,2,0
CRISP2,0,0,0,0,0,0,0,2,0,0,0,0
CRISP3,0,0,0,0,0,0,0,0,0,0,0,0
SETD1A,1125,1018,912,1037,833,797,1094,650,1041,1004,1548,1033
SETD1B,1008,910,961,1018,890,883,1235,809,1102,1173,1395,1016
ERFE,218,354,1265,277,1507,1397,786,1031,942,789,641,670
RILPL1,1318,1149,1128,850,1191,1141,1000,1132,927,1008,1677,1256
RILPL2,941,689,373,321,291,207,305,203,397,290,592,477
BTRC,2860,2424,3663,2560,3979,3849,3309,3230,2930,2919,3861,3201
MSI2,7977,7372,4377,6802,4516,4153,5608,3696,4534,4503,5878,5659
UPF3B,546,642,1011,1226,765,843,951,802,963,919,1277,1071
CRYL1,882,635,564,471,538,591,612,496,615,633,563,592
NewGene_15771,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_15770,0,0,3,0,0,0,0,0,0,0,3,0
NewGene_15773,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_15772,6,4,0,0,0,1,0,3,0,0,0,1
HPD,413,227,166,32,156,59,143,58,248,132,200,122
NewGene_15774,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_19645,0,0,0,0,0,0,0,0,0,2,0,0
NewGene_15778,2,2,0,0,0,0,0,0,0,0,0,3
NewGene_19647,0,0,0,0,0,0,0,0,0,0,0,0
GANC,446,349,374,541,380,354,617,352,471,476,497,443
HPN,13,6,6,3,4,4,7,4,8,10,16,20
NewGene_19642,0,2,6,3,4,11,7,8,0,3,5,3
AFTPH,1693,1449,1923,1877,1825,1897,2118,1574,1867,1776,2217,2009
HPR,0,0,0,3,0,0,0,4,0,3,0,0
NewGene_14715,141,116,244,288,345,481,386,282,330,398,244,270
HPX,24,22,39,44,51,61,62,55,56,69,36,33
ARTN,67,63,38,30,47,51,74,26,74,61,48,19
NewGene_17737,5,2,0,8,2,0,0,0,0,0,2,0
NewGene_17736,0,0,0,2,0,0,0,0,0,0,0,0
ZIC1,11753,12050,11209,21289,12486,11624,17070,9398,12803,10645,16636,14825
NewGene_17734,2,0,0,0,0,0,8,1,5,2,5,2
LCA5L,172,192,89,72,83,95,97,84,46,63,98,66
ZIC5,1363,1367,1679,2231,1632,1669,1842,1298,1601,1532,2297,2254
ZIC4,4369,4269,3054,5560,2637,2381,5706,2001,4680,3110,5429,4951
AMBRA1,2355,2015,2125,1762,2408,2594,2391,2218,1990,2205,2539,2213
NewGene_14713,8,0,5,3,12,3,6,0,0,7,7,5
GNL2,2045,1899,1961,2159,1740,2060,2015,2090,1679,1626,2097,1784
FBXW12,0,0,5,0,0,5,11,0,9,13,5,5
FBXW11,3720,3618,5774,4665,5781,5865,5632,5326,4281,4170,5369,4968
FBXW10,16,10,14,15,9,3,22,2,17,16,26,12
NewGene_13345,19,19,12,12,9,9,16,5,9,19,7,14
MREG,492,442,337,252,339,276,275,223,269,333,433,398
QSER1,1692,1820,1907,2595,1807,1792,2200,1651,2012,1875,2418,2436
SLCO5A1,252,151,1184,1155,1356,1722,1282,1675,959,1088,708,773
GCHFR,932,546,515,144,479,544,285,430,381,376,595,428
NewGene_2239,2,0,0,0,0,0,0,0,0,2,0,0
NewGene_2238,8,8,7,9,15,17,18,14,7,20,5,4
MAK,341,285,45,58,42,40,42,24,85,47,264,233
NewGene_2234,5,0,2,2,0,1,4,0,5,5,2,4
NewGene_2236,3,1,15,10,22,41,17,14,15,29,12,12
NewGene_2231,334,135,303,529,294,380,329,107,409,403,585,581
NewGene_2233,16,22,36,55,38,43,110,43,79,97,61,42
PSME3,4640,4368,4629,4219,4413,4888,4379,4272,4174,3981,4955,4330
NewGene_11422,0,0,5,0,7,0,0,1,0,4,0,1
C7orf31,275,238,266,385,278,246,396,219,236,260,302,280
C7orf33,0,0,4,4,3,0,4,5,2,0,4,5
AGPAT2,947,917,530,580,493,471,515,373,548,469,694,604
AGPAT3,3506,3422,3027,2748,3358,3293,3751,3099,3024,2969,3548,3201
AGPAT1,661,607,707,605,656,747,649,571,628,600,685,584
ANKRD23,125,100,238,129,153,137,209,148,154,187,184,128
AGPAT4,4568,4117,4782,3050,4729,5220,4285,4407,3710,4120,4256,3467
UNC5CL,27,19,23,30,5,13,20,13,27,28,24,36
MDFIC,1715,1247,834,648,506,384,760,498,954,613,986,770
GNLY,3,4,3,0,0,0,0,0,0,2,0,3
ART4,4,14,2,2,0,3,4,4,14,19,8,3
ART5,120,81,43,32,41,30,48,13,66,52,69,69
ART1,0,0,0,0,0,0,0,0,0,1,0,0
ART3,340,213,44,58,30,29,26,26,67,36,69,75
NewGene_12162,0,0,0,3,2,2,0,0,0,2,0,0
MAF,5130,5100,5273,5183,5244,3960,6336,4416,4845,4457,6386,5150
RGS4,4902,4667,3098,955,3104,3952,2108,4227,1575,2641,1854,2047
NewGene_19534,737,677,766,582,868,1077,838,861,845,993,606,617
NewGene_19530,7,4,42,131,56,52,86,27,12,30,8,15
ZNF711,1637,1849,3055,4492,3048,3525,4540,2847,3334,3582,3978,3551
ZNF710,1249,1195,1884,2197,1737,1956,2229,1730,1703,1688,1966,1830
ZNF713,140,170,215,321,238,261,332,202,258,295,412,371
PFKFB1,16,15,32,54,17,24,35,15,27,37,24,18
PFKFB2,1439,1244,964,701,1172,1102,1021,927,957,871,1590,1360
ZNF716,0,0,0,0,0,0,0,0,0,0,0,0
ZNF718,95,109,151,166,148,221,202,139,155,117,145,140
EXOC6B,1800,1585,2742,2260,2803,2931,2521,2562,2158,2157,2770,2341
CD40,312,286,236,260,274,296,268,242,236,304,132,170
NewGene_12813,0,0,0,2,0,0,0,0,0,2,0,4
NewGene_12812,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_12815,4,0,47,8,18,42,21,31,63,110,36,35
NewGene_12814,130,107,165,138,134,196,197,114,164,231,212,171
CD46,12390,11251,4789,4019,4603,4019,5081,3773,6109,5628,7397,5846
CD47,6183,5585,6932,3880,8590,9321,6333,7217,5512,5733,5613,5340
CD48,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_12818,0,0,0,0,2,0,0,0,0,6,0,4
NewGene_18083,51,56,138,70,200,178,93,149,157,193,214,146
STXBP5L,138,141,466,384,631,636,577,459,439,458,539,525
FAM86B1,138,130,95,92,137,129,115,95,60,84,131,136
EAF1,1318,1379,2334,2170,2288,2749,2411,2296,1753,1631,2089,2019
CAMK4,838,861,4257,2253,9438,10717,4147,6802,3932,5308,2846,2832
EAF2,67,36,20,40,23,28,28,27,25,20,30,15
LOC102724023,503,549,797,902,788,801,923,653,660,703,751,708
PDZK1IP1,33,50,0,0,6,0,3,0,5,43,8,10
ZBTB49,152,148,199,219,156,157,240,131,166,235,268,225
ZBTB48,578,505,577,525,486,582,545,421,493,537,641,507
ZBTB45,352,347,600,419,526,615,561,454,429,397,538,453
ZBTB44,1872,1641,1524,1592,1589,1376,1859,1352,1633,1374,2563,2236
ZBTB47,1456,1256,1677,832,1650,1706,1385,1456,1437,1320,1707,1266
ZBTB46,788,646,1408,1123,1406,1395,1601,1253,1291,1319,1391,1237
ZBTB41,1213,1327,2158,1896,2531,2552,2402,2296,2052,2007,2477,2611
ZBTB40,1880,1606,1206,1256,1096,1049,1259,938,1422,1347,1816,1405
ZBTB43,975,877,761,880,811,832,971,719,777,824,1130,991
ZBTB42,140,105,91,202,95,81,151,78,104,106,86,106
ETAA1,759,748,633,997,552,555,858,480,706,695,799,780
RERGL,7,0,24,23,54,42,48,18,19,4,0,0
NewGene_14418,27,26,127,34,132,151,100,127,93,107,104,78
NewGene_14417,0,0,0,0,2,0,0,0,0,0,0,0
NewGene_14416,0,0,0,0,2,0,0,0,0,0,0,0
NewGene_14415,3,8,5,7,7,6,8,5,3,7,7,5
NewGene_14414,0,1,0,0,0,0,4,0,0,0,0,0
NewGene_14412,0,0,0,0,0,0,0,2,0,0,0,0
NewGene_14410,141,129,206,230,225,238,305,185,230,259,326,266
NACC1,2585,2444,2516,1995,2407,2446,2146,2359,1989,2213,2528,2195
NACC2,3536,2737,1039,1307,1127,919,1440,1078,1665,1463,1419,1064
SPATA20,2508,1933,2423,1060,2181,2236,2015,1992,2037,2257,2908,2155
EML5,104,94,185,183,179,225,231,179,268,222,324,245
SPATA22,3,7,9,9,5,11,10,5,4,0,3,10
EML3,1603,1320,983,600,876,862,881,828,974,1012,1069,877
SPATA24,197,126,141,141,97,125,200,97,126,144,112,105
EML1,4711,3862,2331,2818,2698,2455,2982,2295,2658,2487,3409,3019
LOC124905408,0,0,0,0,0,0,0,0,0,0,0,0
MT2A,1543,842,453,298,459,454,384,486,626,545,435,467
SEZ6,1004,655,5890,1456,5568,7510,3506,6162,2902,3257,3543,2928
SMC1B,14,6,8,8,9,5,7,12,7,9,7,7
SMC1A,3314,2949,3847,4403,3640,3829,4651,3497,3483,3375,5029,4244
EIF4A1,16671,15498,13230,15467,10340,12165,13411,11791,11449,11045,12843,12017
MROH1,1749,1393,1428,855,1474,1644,1291,1294,1322,1511,1602,1283
MROH7,50,42,63,27,50,38,93,39,100,68,71,54
MROH9,5,0,0,0,2,0,0,0,0,0,0,0
LOC101929601,0,0,0,0,0,0,0,0,0,0,0,0
WDR97,82,98,70,101,70,99,127,67,118,127,90,88
WDR90,1034,946,544,677,500,486,749,345,723,789,1051,900
WDR91,1913,1437,733,1213,645,597,1244,538,1098,948,1143,919
WDR93,249,214,41,61,40,34,32,29,44,31,125,181
TRAF7,5293,4514,3636,3237,3481,3716,3694,3115,3377,3544,4312,3860
TRAF6,711,720,966,1177,883,923,1070,907,862,878,1015,979
TRAF5,1551,1299,1067,739,1010,1045,890,937,1127,1259,1321,1344
TRAF4,2817,2306,1853,2573,1442,1564,2153,1307,1952,1905,2509,1924
TRAF3,3333,3142,2815,2638,3148,2980,2757,2701,2817,2704,4271,3700
TRAF2,592,458,589,450,431,521,567,444,428,527,459,404
TRAF1,149,154,217,136,154,232,249,196,196,282,177,200
GSTT2,1,0,0,0,2,0,0,0,2,0,2,0
SPATA2L,1109,832,767,412,822,836,655,655,718,598,973,772
PJVK,73,61,86,101,71,70,86,73,81,104,82,72
SOX17,0,2,0,0,0,0,0,0,0,0,2,0
SOX15,50,52,34,28,17,23,23,20,33,34,40,35
SOX14,0,0,0,3,0,2,3,3,0,0,3,4
SOX13,443,380,401,772,398,385,606,305,497,544,366,373
SOX12,2122,1864,3178,3343,3919,4261,3826,3191,3285,3580,3911,3504
SOX11,4091,4794,11595,21105,13742,14393,17446,13589,10856,12124,11190,12559
SOX10,17,14,11,4,12,6,3,9,11,6,27,21
SOX18,2,4,2,2,4,13,4,6,4,4,12,0
DACT2,661,938,753,2087,422,392,2606,381,1887,1597,627,820
DACT3,589,577,2388,1273,2357,2712,1871,2239,1623,1752,1394,1352
NewGene_823,67,46,195,187,127,121,393,127,217,153,52,48
NewGene_822,4,4,34,10,6,20,27,22,12,9,0,8
NewGene_824,0,0,0,0,0,0,0,0,0,0,4,0
NewGene_827,25,18,127,0,157,144,98,113,113,278,90,99
NewGene_826,0,0,2,0,0,0,1,0,0,2,0,0
APBB3,1209,1134,1509,1149,1537,1725,1521,1418,1432,1734,1327,1262
APBB2,6114,6137,5535,4609,5209,5680,6474,5612,5532,5819,6041,5243
APBB1,5055,3945,9897,5058,9911,11043,8081,9374,6188,6960,7472,6372
PCGF6,249,314,296,323,283,288,346,270,214,235,303,333
LSMEM1,80,91,189,112,153,176,211,136,121,208,133,112
PCGF5,883,864,554,866,525,426,639,387,568,410,860,821
PCGF3,2553,2626,4221,4237,3895,4478,4901,3891,3903,4344,4251,3832
PCGF1,467,367,350,350,344,336,331,261,369,327,470,403
NewGene_4949,11,9,13,10,11,25,21,14,25,21,23,16
NewGene_4948,12,15,9,26,15,15,8,9,16,12,20,9
NewGene_1719,7,0,7,0,0,5,8,3,0,4,4,0
NewGene_1718,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_4941,0,0,3,0,0,0,0,0,0,0,0,0
NewGene_4940,0,0,0,0,0,0,0,0,0,0,0,0
DPH7,882,727,826,881,605,735,1001,617,863,1086,1089,912
NewGene_4942,7,9,5,6,6,6,1,4,4,4,0,14
DPH1,1212,1030,907,954,873,925,1022,824,980,1099,1416,1075
NewGene_4944,4,11,0,5,2,0,2,3,3,0,0,0
DPH3,3419,3019,4345,2876,4153,4372,3684,4229,3176,3135,3529,2974
NewGene_4946,0,0,0,0,0,0,0,0,2,2,0,0
PSME3IP1,2926,2569,3149,3696,3128,3545,3677,2979,3216,3229,3909,3528
TMSB15A,334,330,1338,2097,1069,1223,1771,993,1196,1236,907,1088
NewGene_3625,7,15,27,30,20,30,37,20,26,12,9,15
PRNP,14797,11961,7891,5485,9234,9268,10587,7530,9188,7493,11595,10566
NewGene_3627,80,34,7,2,4,2,2,4,8,11,9,17
NewGene_3621,2,0,0,0,0,0,2,0,0,0,0,0
NewGene_3620,0,0,0,0,0,0,0,0,2,0,0,2
NewGene_3623,0,0,4,2,4,14,0,3,4,5,0,0
ATP2A1,58,49,50,49,33,55,53,25,51,44,27,37
ATP2A3,147,101,398,244,245,318,242,213,179,226,95,159
ATP2A2,14581,14097,17885,18407,21219,23175,17889,19440,15571,16601,17913,17302
NewGene_3628,0,0,0,0,2,5,4,5,0,3,2,0
ABRA,0,0,0,0,0,0,2,3,0,0,0,0
APELA,0,2,5,2,0,0,8,0,8,0,0,6
TBC1D7-LOC100130357,85,34,191,75,110,71,285,97,87,83,127,40
TYR,5673,3705,1549,468,2156,727,1046,501,3462,1517,7754,6300
CRNN,4,0,0,0,0,0,0,0,0,0,0,0
PIDD1,802,689,448,441,349,294,501,214,489,483,648,493
MC3R,0,0,0,0,0,0,0,0,2,0,0,0
NOL4L,2338,2051,4675,3494,5177,5999,4862,5043,3878,4291,4185,3730
CAPRIN1,11298,10881,13918,16103,14331,15514,16554,13768,13066,12638,14534,13761
SLCO1A2,387,347,252,309,291,266,322,210,308,392,362,404
TNIP3,26,30,39,13,29,30,28,28,37,17,13,15
TNIP2,746,589,596,653,517,540,637,515,585,599,631,548
SMAD3,3193,3454,2514,2458,1928,1460,2096,1499,2111,1519,3928,2971
SMAD2,4352,3719,4702,4156,4995,5494,5683,4381,4405,4206,6074,5308
SMAD1,792,659,1470,1403,1836,2191,1761,1790,1693,1804,1932,1834
SMAD7,1727,1777,1224,862,974,1195,1219,1196,1228,1588,902,1040
SMAD6,3350,2290,919,724,882,531,1019,493,1360,976,1857,1426
SMAD5,2344,2490,2060,2856,1692,1942,2881,1775,2523,2148,2672,2680
SMAD4,2508,2516,2129,3456,2116,1960,2770,1941,2226,2123,2780,2616
SMAD9,1921,1630,2909,1877,3633,3402,3255,3305,3059,3184,2996,2559
VEPH1,636,523,594,245,566,264,408,256,500,258,954,768
NewGene_12788,4,12,6,2,8,6,15,5,10,7,12,14
GARS1,6181,5500,9601,10285,10856,13192,8290,10302,6989,7042,10574,9436
NewGene_5701,177,115,64,84,66,31,76,34,102,88,100,106
ALPL,313,369,222,413,180,169,428,151,301,265,168,201
NewGene_5703,9,11,5,9,9,4,7,0,9,13,16,23
NewGene_5705,581,460,849,1095,793,776,960,729,912,714,882,835
NewGene_5706,4,3,5,3,0,4,3,3,4,3,6,4
ALPI,1,0,0,0,0,0,0,0,2,0,0,0
ALPG,0,0,3,5,3,0,2,4,0,0,3,0
PIMREG,14,23,70,413,18,38,189,35,74,44,14,51
SH3TC2,34,33,65,23,50,28,35,20,43,55,118,82
SH3TC1,11,25,41,6,27,45,15,44,24,38,18,25
NXF2B,6,3,9,4,4,6,9,0,5,5,11,4
SELENOF,7095,6753,4281,4409,3919,3896,3916,3626,4193,3716,5432,5233
SELENOH,913,938,585,790,578,603,553,485,584,615,788,828
SELENOI,2271,2190,4462,3163,5488,5814,4486,5001,3451,3480,4196,3898
SELENOK,1909,1849,1487,2175,1368,1469,1545,1236,1359,1317,1553,1514
SELENOM,2046,1467,818,511,731,650,662,600,828,743,811,646
SELENON,12194,10806,6356,8060,5481,5956,7276,5634,6829,6531,6859,6411
SELENOO,652,500,551,428,499,410,544,371,486,580,683,453
SELENOP,4001,2848,2436,1772,1679,1031,2504,1115,2677,2176,1875,1703
SELENOS,1952,1978,1254,1678,1004,1197,1184,1055,1285,1227,1409,1340
KCNG3,4,4,6,0,5,0,12,4,4,9,3,8
KCNG2,0,4,24,130,6,10,29,15,15,31,14,13
SELENOV,21,31,63,38,33,27,46,40,36,49,43,48
SELENOW,5202,3980,3847,2822,3987,4198,3726,3237,3676,3655,4231,3802
GPD1,71,103,217,216,291,608,161,678,162,295,299,372
GPD2,1074,939,1222,1079,1316,1220,1354,1100,1218,1103,1432,1183
USF3,655,620,852,1093,825,911,1148,809,907,857,901,826
USF2,3151,2899,3228,3001,2949,3239,3454,2814,2832,2981,4358,3480
USF1,1151,1038,1345,1458,1067,1234,1410,1061,1300,1217,1775,1478
H2AP,0,0,0,0,0,0,0,0,0,0,0,0
H2AX,338,307,229,758,281,351,286,221,363,218,390,242
NewGene_8251,0,0,27,6,3,17,10,20,6,9,0,7
NewGene_8250,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_8253,0,0,0,0,0,0,0,0,1,0,0,0
NewGene_8252,0,0,0,0,0,0,0,0,0,0,0,0
HSPG2,12044,12618,6211,3227,5164,4516,4005,4858,5883,5429,5789,6182
NewGene_8259,0,2,2,0,0,1,0,2,0,2,0,0
NewGene_8258,0,0,0,0,0,0,0,0,0,0,0,0
CRYZL2P-SEC16B,147,39,25,107,130,136,51,107,98,53,183,104
MANSC4,8,5,15,6,23,31,14,4,25,24,13,16
TIE1,2,0,16,29,8,8,4,10,20,10,9,11
NewGene_582,12,10,71,21,43,50,26,45,28,47,23,22
NME9,130,98,61,71,64,61,78,57,80,99,124,110
NME8,13,7,12,4,8,6,8,11,9,8,11,8
GLB1,8924,7972,4330,3216,4147,3728,3948,3709,4825,4211,7309,5726
SNIP1,666,623,688,689,595,599,814,623,654,614,898,782
NME1,2066,1931,3169,2174,2534,3186,2577,2878,1919,2094,2059,1904
NME3,623,604,388,424,398,299,398,279,497,415,528,444
NME2,5765,5212,4580,4282,3948,4673,3838,3805,4053,4173,4585,4160
NME5,812,725,462,410,479,501,433,432,475,413,686,648
NME4,3316,3028,1907,2013,1295,1424,1673,1189,1923,2075,2304,1914
NME7,1137,956,839,845,694,717,758,725,686,654,890,776
NME6,958,777,832,1012,746,795,901,608,843,827,1206,1006
NewGene_9704,6,3,8,7,2,9,7,7,6,8,8,6
NewGene_9705,48,46,105,85,129,145,65,132,126,144,119,150
NewGene_6978,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_6979,178,119,242,57,191,180,157,172,170,242,188,159
NewGene_9700,8,5,12,14,12,6,8,5,7,6,7,7
NewGene_9702,0,2,0,0,0,0,0,0,0,0,0,0
NewGene_9703,0,0,0,0,0,0,1,0,0,0,2,0
SANBR,775,801,1741,1250,1874,2136,1668,1854,1260,1422,1412,1205
RHEBL1,23,17,75,64,80,92,57,79,40,55,35,35
NewGene_6971,0,0,11,7,10,12,4,7,0,7,6,11
NewGene_6976,6,0,0,0,0,0,0,0,0,0,0,0
NewGene_6974,4,0,0,0,0,0,2,0,4,0,7,3
NewGene_6975,7,2,29,10,14,14,12,16,5,8,2,3
ASIC2,429,227,2838,574,2790,3698,2168,3153,1479,1641,1336,1105
ZNF653,206,200,253,266,276,246,309,241,273,283,352,256
NewGene_581,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_18957,2,4,15,14,6,3,8,3,7,6,2,4
ASIC1,957,646,2455,1795,2798,3169,2213,2403,2058,2176,2302,1970
NewGene_18953,103,109,124,123,154,166,133,111,158,130,122,137
NewGene_17539,0,0,0,0,2,0,0,0,0,0,0,0
NewGene_18950,4,0,3,0,0,0,0,0,0,2,0,0
NewGene_17530,0,1,0,3,0,0,3,1,2,1,2,1
NewGene_17533,0,0,0,3,0,0,0,2,3,4,0,4
NewGene_17535,3,4,3,1,0,0,7,2,3,4,4,1
NewGene_17534,6,3,0,0,4,0,0,1,3,3,3,0
PEA15,9977,9290,13816,19652,10017,12648,18209,10106,11838,11303,8820,8817
NewGene_17536,33,37,134,108,131,10,106,106,12,122,81,82
LTK,4,2,8,19,0,6,14,6,14,27,6,0
LRPAP1,7172,5605,3993,2848,4197,4160,3681,3631,3995,3668,5408,4424
LOC124900338,24,19,134,27,111,157,75,141,68,103,43,52
NewGene_18277,0,0,0,0,4,0,0,0,0,0,0,0
PCDH11Y,4,11,9,7,4,8,16,2,6,0,4,5
PCDH11X,486,350,721,536,807,727,686,837,679,453,781,575
NewGene_17286,0,2,2,0,0,0,0,0,0,0,0,0
NewGene_17285,0,0,0,0,0,0,0,0,0,3,0,0
FAM3A,1225,1097,1156,937,1167,1295,1067,1037,983,1023,1164,1007
NewGene_17281,26,11,164,36,93,143,50,117,11,26,4,16
NewGene_17280,0,0,0,0,0,0,0,0,0,0,0,0
RTN4IP1,256,224,324,263,268,339,286,303,289,256,264,236
RTN4R,250,207,374,624,389,491,429,364,330,287,464,365
PTPN6,145,77,71,28,67,60,41,52,64,54,83,52
NewGene_17289,0,0,0,0,0,0,5,0,0,0,0,0
NewGene_17288,5,6,12,6,27,34,17,25,29,27,21,24
ATRAID,2327,2074,1394,1848,1251,1217,1506,1110,1575,1373,2229,2012
NewGene_12197,2,0,0,3,0,0,3,0,0,5,0,4
PTPN1,5118,4139,4298,2674,4672,5914,4256,5890,3987,4422,3106,3069
NewGene_12192,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_12193,10,9,10,23,13,35,16,16,18,13,18,23
PABPC1L2A,100,96,475,161,541,538,292,365,307,391,307,350
PABPC1L2B,71,53,319,124,322,403,269,363,229,297,292,251
LNPK,1415,1490,2521,2876,2721,2936,3054,2836,2016,2097,2351,2342
LNP1,225,216,327,329,424,464,370,431,336,398,319,340
FAM136A,1118,1171,1396,1337,1269,1414,1315,1269,1187,1130,1630,1458
NewGene_12199,0,0,0,0,0,0,2,1,0,0,0,0
NewGene_19258,3,0,2,4,4,6,2,2,3,0,0,0
NewGene_19252,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_19253,0,0,8,5,3,6,0,0,0,0,0,0
NewGene_19250,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_19251,0,0,5,3,0,0,3,6,0,0,2,3
NewGene_19256,1,3,20,4,9,12,3,5,6,5,0,0
NewGene_19257,157,111,69,48,57,63,66,42,64,64,77,75
NewGene_19254,0,0,0,0,0,2,0,0,0,0,0,0
MACROH2A2,2746,3021,2884,6134,2441,2762,4244,2402,2985,2883,4088,3923
MACROH2A1,8732,7916,6342,8272,6429,6502,6735,5864,6358,5909,7588,6940
NewGene_1168,0,2,0,1,2,0,0,2,0,0,1,0
RRH,17,14,14,16,17,9,23,12,8,8,11,9
CACNB4,157,160,595,453,801,835,682,806,463,600,484,481
CACNB2,247,191,626,183,446,468,451,475,417,473,395,366
CACNB3,1836,1711,4257,2880,4092,4662,4094,3947,3191,3664,3506,3040
CACNB1,701,589,2380,1664,2411,2797,2284,2383,1597,1834,1693,1544
NewGene_1889,33,19,23,47,40,24,48,27,41,42,38,37
SETD6,614,661,715,798,660,774,911,627,763,885,938,764
SETD7,1409,1469,1698,1372,1975,2619,1482,2090,1374,1459,1746,1674
SETD4,624,646,660,748,552,622,791,514,734,772,1082,940
SETD5,5222,4976,6429,7386,5813,6479,7849,5646,6057,6471,6903,6125
SETD2,3717,3272,4151,4418,3717,3896,4662,3476,4028,3734,5184,4540
SETD3,3632,2977,3218,2692,3133,3077,2901,2799,2530,2469,3268,2979
TMEM14B,1969,1672,865,1028,925,847,988,769,996,869,1212,1138
CLCF1,219,291,96,95,69,100,92,107,125,151,106,120
SETD9,151,168,249,154,243,272,214,202,203,213,278,239
EIF2A,2423,2307,1977,2736,2349,2590,2363,2135,2061,2024,2515,2426
NewGene_3990,0,0,2,2,9,8,3,5,0,2,5,8
EIF2D,1237,951,455,734,437,435,625,336,633,489,1007,835
NewGene_13782,2,0,0,0,5,0,6,0,0,3,5,0
FSD1,1485,1148,2998,2064,2862,3446,2783,2701,2111,2490,1979,1740
FSD2,83,71,81,97,69,85,137,70,105,140,104,85
IFT140,2579,2211,1946,1989,1802,1790,2080,1511,1991,2245,3201,2539
THOC5,1101,1053,1123,1090,924,1098,1065,1025,969,1048,1081,963
THOC6,544,442,379,524,273,317,368,271,313,332,583,439
THOC7,973,979,1383,1206,1285,1426,1228,1250,1035,1028,995,1114
THOC1,875,822,829,1232,681,758,1104,656,908,929,1051,972
THOC2,2445,2378,2128,2529,1735,1785,2460,1673,2236,1804,2878,2482
THOC3,2347,2029,1092,1129,1217,876,1110,888,1191,1333,1918,1346
SEPTIN14,0,0,0,0,0,0,0,0,0,0,0,0
SEPTIN12,9,10,17,9,14,15,31,0,16,18,13,13
SEPTIN11,5678,5439,9074,9642,7986,8708,8557,7901,7203,6222,7727,7254
SEPTIN10,2144,2039,1668,2374,1295,1164,2162,1154,1794,1418,2050,1795
RNF40,4120,3767,4129,3724,3960,4251,4159,3564,3590,3539,4853,4074
RNF41,2551,2398,3664,3391,3452,4123,3624,3509,2855,2923,3473,2873
RNF43,143,115,123,147,116,118,173,101,177,131,309,274
RNF44,2585,2284,2636,2724,2739,3000,2935,2516,2945,3270,3708,3177
